IngredientCode,IngredientName,IngredientNameEnglish,CASNumber,MatchString,SourceCount,concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason,ATC
DESLORATADIN,DESLORATADIN,DESLORATADIN,,"SourceTerm - Ingredient Term (Standardised) (""DESLORATADIN"")",-1,1103006,DESLORATADINE,Drug,RxNorm,Ingredient,S,275635,1970-01-01,2099-12-31,,R06AX27
DESMOPRESSIN,DESMOPRESSIN,DESMOPRESSIN,,"SourceTerm - Ingredient Term (""DESMOPRESSIN"")",-1,1517070,DESMOPRESSIN,Drug,RxNorm,Ingredient,S,3251,1970-01-01,2099-12-31,,H01BA02
DESOGESTREL,DESOGESTREL,DESOGESTREL,,"SourceTerm - Ingredient Term (""DESOGESTREL"")",-1,1588000,DESOGESTREL,Drug,RxNorm,Ingredient,S,22656,1970-01-01,2099-12-31,,
DEXAMETHASONE,DEXAMETHASONE,DEXAMETHASONE,,"SourceTerm - Ingredient Term (""DEXAMETHASONE"")",-1,1518254,DEXAMETHASONE,Drug,RxNorm,Ingredient,S,3264,1970-01-01,2099-12-31,,
DEXIBUPROFEN,DEXIBUPROFEN,DEXIBUPROFEN,,"SourceTerm - Ingredient Term (""DEXIBUPROFEN"")",-1,35891918,DEXIBUPROFEN,Drug,RxNorm Extension,Ingredient,S,OMOP5036199,2006-11-02,2099-12-31,,M01AE14
DEXKETOPROFEN,DEXKETOPROFEN,DEXKETOPROFEN,,"SourceTerm - Ingredient Term (""DEXKETOPROFEN"")",-1,19056874,DEXKETOPROFEN,Drug,RxNorm,Ingredient,S,237162,1970-01-01,2099-12-31,,
DEXMEDETOMIDIN,DEXMEDETOMIDIN,DEXMEDETOMIDIN,,"SourceTerm - Ingredient Term (Standardised) (""DEXMEDETOMIDIN"")",-1,19061088,DEXMEDETOMIDINE,Drug,RxNorm,Ingredient,S,48937,1970-01-01,2099-12-31,,N05CM18
DEXPANTHENOL,DEXPANTHENOL,DEXPANTHENOL,,"SourceTerm - Ingredient Term (""DEXPANTHENOL"")",-1,988294,DEXPANTHENOL,Drug,RxNorm,Ingredient,S,22701,1970-01-01,2099-12-31,,S01XA12
DEXRAZOXAN,DEXRAZOXAN,DEXRAZOXAN,,"SourceTerm - Ingredient Term (Standardised) (""DEXRAZOXAN"")",-1,1353011,DEXRAZOXANE,Drug,RxNorm,Ingredient,S,42736,1970-01-01,2099-12-31,,V03AF02
DEXTROMETHORPHAN,DEXTROMETHORPHAN,DEXTROMETHORPHAN,,"SourceTerm - Ingredient Term (""DEXTROMETHORPHAN"")",-1,1119510,DEXTROMETHORPHAN,Drug,RxNorm,Ingredient,S,3289,1970-01-01,2099-12-31,,N07XX59
DIAZEPAM,DIAZEPAM,DIAZEPAM,,"SourceTerm - Ingredient Term (""DIAZEPAM"")",-1,723013,DIAZEPAM,Drug,RxNorm,Ingredient,S,3322,1970-01-01,2099-12-31,,N05BA01
DICHLOROBENZYL ALCOHOL,DICHLOROBENZYL ALCOHOL,DICHLOROBENZYL ALCOHOL,,"SourceTerm - Ingredient Term (""DICHLOROBENZYL ALCOHOL"")",-1,19054875,DICHLOROBENZYL ALCOHOL,Drug,RxNorm,Ingredient,S,22906,1970-01-01,2099-12-31,,R02AA03
DICLOFENAC,DICLOFENAC,DICLOFENAC,,"SourceTerm - Ingredient Term (""DICLOFENAC"")",-1,1124300,DICLOFENAC,Drug,RxNorm,Ingredient,S,3355,1970-01-01,2099-12-31,,
DICLOFENAC EPOLAMIN,DICLOFENAC EPOLAMIN,DICLOFENAC EPOLAMIN,,"SourceTerm - Ingredient Relationship (Standardised) ""Precise Ingredient"" with relation ""Form of"" - Filter on best fit (""DICLOFENAC EPOLAMIN"")",-1,1124300,DICLOFENAC,Drug,RxNorm,Ingredient,S,3355,1970-01-01,2099-12-31,,
DIENOGEST,DIENOGEST,DIENOGEST,,"SourceTerm - Ingredient Term (""DIENOGEST"")",-1,19054876,DIENOGEST,Drug,RxNorm,Ingredient,S,22968,1970-01-01,2099-12-31,,
DIETHYLAMINE SALICYLATE,DIETHYLAMINE SALICYLATE,DIETHYLAMINE SALICYLATE,,"SourceTerm - Ingredient Term (""DIETHYLAMINE SALICYLATE"")",-1,19029278,DIETHYLAMINE SALICYLATE,Drug,RxNorm,Ingredient,S,162592,1970-01-01,2099-12-31,,
DIETILÉN-TRIAMIN-PENTAECETSAV DTPA,DIETILÉN-TRIAMIN-PENTAECETSAV DTPA,DIETILÉN-TRIAMIN-PENTAECETSAV DTPA,,"Manual Overrule Mapping (""DIETILÉN-TRIAMIN-PENTAECETSAV DTPA"")",-1,43009048,DIETHYLENE TRIAMINE 5-ACETIC ACID,Drug,RxNorm Extension,Ingredient,S,OMOP4700474,1970-01-01,2099-12-31,,
DIFLUCORTOLONE,DIFLUCORTOLONE,DIFLUCORTOLONE,,"SourceTerm - Ingredient Term (""DIFLUCORTOLONE"")",-1,19026096,DIFLUCORTOLONE,Drug,RxNorm,Ingredient,S,3392,1970-01-01,2099-12-31,,D07XC04
DIGOXIN,DIGOXIN,DIGOXIN,,"SourceTerm - Ingredient Term (""DIGOXIN"")",-1,1326303,DIGOXIN,Drug,RxNorm,Ingredient,S,3407,1970-01-01,2099-12-31,,C01AA05
DIHYDROCODEINE,DIHYDROCODEINE,DIHYDROCODEINE,,"SourceTerm - Ingredient Term (""DIHYDROCODEINE"")",-1,1189596,DIHYDROCODEINE,Drug,RxNorm,Ingredient,S,23088,1970-01-01,2099-12-31,,
DILTIAZEM,DILTIAZEM,DILTIAZEM,,"SourceTerm - Ingredient Term (""DILTIAZEM"")",-1,1328165,DILTIAZEM,Drug,RxNorm,Ingredient,S,3443,1970-01-01,2099-12-31,,
DIMENHYDRINATE,DIMENHYDRINATE,DIMENHYDRINATE,,"SourceTerm - Ingredient Term (""DIMENHYDRINATE"")",-1,928744,DIMENHYDRINATE,Drug,RxNorm,Ingredient,S,3444,1970-01-01,2099-12-31,,
DIMERCAPTOSUCCINIC ACID,DIMERCAPTOSUCCINIC ACID,DIMERCAPTOSUCCINIC ACID,,"SourceTerm - Ingredient Term (Orphan ingredient) (""DIMERCAPTOSUCCINIC ACID"")",-1,739710,DIMERCAPTOSUCCINIC ACID,Drug,RxNorm,Ingredient,S,2475951,2021-04-05,2099-12-31,,
DIMETHYL FUMARATE,DIMETHYL FUMARATE,DIMETHYL FUMARATE,,"SourceTerm - Ingredient Term (""DIMETHYL FUMARATE"")",-1,43526424,DIMETHYL FUMARATE,Drug,RxNorm,Ingredient,S,1373478,2013-05-06,2099-12-31,,N07XX09
DIMETHYL PHTHALATE,DIMETHYL PHTHALATE,DIMETHYL PHTHALATE,,"SourceTerm - Ingredient Term (Orphan ingredient) (""DIMETHYL PHTHALATE"")",-1,36848837,DIMETHYL PHTHALATE,Drug,RxNorm Extension,Ingredient,S,OMOP5166453,1970-01-01,2099-12-31,,
DIMETHYL SULFOXIDE,DIMETHYL SULFOXIDE,DIMETHYL SULFOXIDE,,"SourceTerm - Ingredient Term (""DIMETHYL SULFOXIDE"")",-1,928980,DIMETHYL SULFOXIDE,Drug,RxNorm,Ingredient,S,3455,1970-01-01,2099-12-31,,
DIMETICONE,DIMETICONE,DIMETICONE,,"SourceTerm - Ingredient Term (Standardised) (""DIMETICONE"")",-1,916662,DIMETHICONE,Drug,RxNorm,Ingredient,S,324072,1970-01-01,2099-12-31,,P03AX05
DIMETIL-ACETANILID-IMINODIACETIL-SAV,DIMETIL-ACETANILID-IMINODIACETIL-SAV,DIMETIL-ACETANILID-IMINODIACETIL-SAV,,"Manual Overrule Mapping (Orphan ingredient) (""DIMETIL-ACETANILID-IMINODIACETIL-SAV"")",-1,36863248,IMINODIACETIC ACID,Drug,RxNorm Extension,Ingredient,S,OMOP5180865,1970-01-01,2099-12-31,,
DIMETINDENE,DIMETINDENE,DIMETINDENE,,"SourceTerm - Ingredient Term (Standardised) (""DIMETINDENE"")",-1,19028947,DIMETHINDENE,Drug,RxNorm,Ingredient,S,3449,1970-01-01,2099-12-31,,R06AB03
DINOPROSTONE,DINOPROSTONE,DINOPROSTONE,,"SourceTerm - Ingredient Term (""DINOPROSTONE"")",-1,1329415,DINOPROSTONE,Drug,RxNorm,Ingredient,S,3478,1970-01-01,2099-12-31,,G02AD02
DINÁTRIUM-FOSZFÁT-DIHIDRÁT,DINÁTRIUM-FOSZFÁT-DIHIDRÁT,DINÁTRIUM-FOSZFÁT-DIHIDRÁT,,"Manual Overrule Mapping (""DINÁTRIUM-FOSZFÁT-DIHIDRÁT"")",-1,36403248,DISODIUM PHOSPHATE DIHYDRATE,Drug,RxNorm Extension,Ingredient,S,OMOP3107008,1970-01-01,2099-12-31,,
DINÁTRIUM-FOSZFÁT-DODEKAHIDRÁT,DINÁTRIUM-FOSZFÁT-DODEKAHIDRÁT,DINÁTRIUM-FOSZFÁT-DODEKAHIDRÁT,,"Manual Overrule Mapping (""DINÁTRIUM-FOSZFÁT-DODEKAHIDRÁT"")",-1,35894862,SODIUM DIHYDROGEN PHOSPHATE MONOHYDRATE,Drug,RxNorm Extension,Ingredient,S,OMOP5042942,1970-01-01,2099-12-31,,
DIOSMECTIT,DIOSMECTIT,DIOSMECTIT,,"SourceTerm - Ingredient Relationship (Standardised) Synonym of ""ATC 5th"" with relation ""Maps to"" (""DIOSMECTIT"")",-1,42903830,DIOSMETIN,Drug,RxNorm,Ingredient,S,1314347,2012-12-03,2099-12-31,,A07BC05
DIOSMIN,DIOSMIN,DIOSMIN,,"SourceTerm - Ingredient Term (""DIOSMIN"")",-1,19029488,DIOSMIN,Drug,RxNorm,Ingredient,S,3489,1970-01-01,2099-12-31,,
DIPHENHYDRAMINE,DIPHENHYDRAMINE,DIPHENHYDRAMINE,,"SourceTerm - Ingredient Term (""DIPHENHYDRAMINE"")",-1,1129625,DIPHENHYDRAMINE,Drug,RxNorm,Ingredient,S,3498,1970-01-01,2099-12-31,,N04AB01
DIPHENOXYLATE,DIPHENOXYLATE,DIPHENOXYLATE,,"SourceTerm - Ingredient Term (""DIPHENOXYLATE"")",-1,930916,DIPHENOXYLATE,Drug,RxNorm,Ingredient,S,3500,1970-01-01,2099-12-31,,A07DA01
DIPHTHERIA TOXOID,DIPHTHERIA TOXOID,DIPHTHERIA TOXOID,,"SourceTerm - Ingredient Relationship ""Ingredient"" with relation ""Concept replaced by"" - Filter on best fit (""DIPHTHERIA TOXOID"")",-1,529303,"DIPHTHERIA TOXOID VACCINE, INACTIVATED",Drug,RxNorm,Ingredient,S,798304,2008-06-29,2099-12-31,,J07CA13
DISODIUM CLODRONATE,DISODIUM CLODRONATE,DISODIUM CLODRONATE,,"SourceTerm - Ingredient Relationship (Sorted) ""Precise Ingredient"" with relation ""Form of"" - Filter on best fit (""DISODIUM CLODRONATE"")",-1,19024249,CLODRONIC ACID,Drug,RxNorm,Ingredient,S,3350,1970-01-01,2099-12-31,,M05BA02
DISODIUM METHYLENE DIPHOSPHONATE,DISODIUM METHYLENE DIPHOSPHONATE,DISODIUM METHYLENE DIPHOSPHONATE,,"Manual Overrule Mapping (Orphan ingredient) (""DISODIUM METHYLENE DIPHOSPHONATE"")",-1,19072085,METHYLENE DIPHOSPHONATE,Drug,RxNorm,Ingredient,S,29844,1970-01-01,2099-12-31,,
DISULFIRAM,DISULFIRAM,DISULFIRAM,,"SourceTerm - Ingredient Term (""DISULFIRAM"")",-1,735850,DISULFIRAM,Drug,RxNorm,Ingredient,S,3554,1970-01-01,2099-12-31,,P03AA54
DOCETAXEL,DOCETAXEL,DOCETAXEL,,"SourceTerm - Ingredient Term (""DOCETAXEL"")",-1,1315942,DOCETAXEL,Drug,RxNorm,Ingredient,S,72962,1970-01-01,2099-12-31,,L01CD02
DOCOSAHEXAENOIC ACID,DOCOSAHEXAENOIC ACID,DOCOSAHEXAENOIC ACID,,"SourceTerm - Ingredient Relationship ""Precise Ingredient"" with relation ""Form of"" - Filter on best fit (""DOCOSAHEXAENOIC ACID"")",-1,19016670,DOCOSAHEXAENOATE,Drug,RxNorm,Ingredient,S,73,2006-05-14,2099-12-31,,C10AX06
DOLUTEGRAVIR,DOLUTEGRAVIR,DOLUTEGRAVIR,,"SourceTerm - Ingredient Term (""DOLUTEGRAVIR"")",-1,43560385,DOLUTEGRAVIR,Drug,RxNorm,Ingredient,S,1433868,2013-09-03,2099-12-31,,
DOMPERIDONE,DOMPERIDONE,DOMPERIDONE,,"SourceTerm - Ingredient Term (""DOMPERIDONE"")",-1,19037833,DOMPERIDONE,Drug,RxNorm,Ingredient,S,3626,1970-01-01,2099-12-31,,A03FA03
DONEPEZIL,DONEPEZIL,DONEPEZIL,,"SourceTerm - Ingredient Term (""DONEPEZIL"")",-1,715997,DONEPEZIL,Drug,RxNorm,Ingredient,S,135447,1970-01-01,2099-12-31,,N06DA53
DOPAMINE,DOPAMINE,DOPAMINE,,"SourceTerm - Ingredient Term (""DOPAMINE"")",-1,1337860,DOPAMINE,Drug,RxNorm,Ingredient,S,3628,1970-01-01,2099-12-31,,C01CA04
DORAVIRINE,DORAVIRINE,DORAVIRINE,,"SourceTerm - Ingredient Term (""DORAVIRINE"")",-1,35200446,DORAVIRINE,Drug,RxNorm,Ingredient,S,2055755,2018-12-03,2099-12-31,,
DORNASE ALFA,DORNASE ALFA,DORNASE ALFA,,"SourceTerm - Ingredient Term (""DORNASE ALFA"")",-1,1125443,DORNASE ALFA,Drug,RxNorm,Ingredient,S,337623,1970-01-01,2099-12-31,,R05CB13
DORZOLAMIDE,DORZOLAMIDE,DORZOLAMIDE,,"SourceTerm - Ingredient Term (""DORZOLAMIDE"")",-1,981709,DORZOLAMIDE,Drug,RxNorm,Ingredient,S,60207,1970-01-01,2099-12-31,,S01EC03
DOXAZOSIN,DOXAZOSIN,DOXAZOSIN,,"SourceTerm - Ingredient Term (""DOXAZOSIN"")",-1,1363053,DOXAZOSIN,Drug,RxNorm,Ingredient,S,49276,1970-01-01,2099-12-31,,C02CA04
DOXORUBICIN,DOXORUBICIN,DOXORUBICIN,,"SourceTerm - Ingredient Term (""DOXORUBICIN"")",-1,1338512,DOXORUBICIN,Drug,RxNorm,Ingredient,S,3639,1970-01-01,2099-12-31,,L01DB01
DOXYCYCLINE,DOXYCYCLINE,DOXYCYCLINE,,"SourceTerm - Ingredient Term (""DOXYCYCLINE"")",-1,1738521,DOXYCYCLINE,Drug,RxNorm,Ingredient,S,3640,1970-01-01,2099-12-31,,J01AA02
DRONEDARONE,DRONEDARONE,DRONEDARONE,,"SourceTerm - Ingredient Term (""DRONEDARONE"")",-1,40163615,DRONEDARONE,Drug,RxNorm,Ingredient,S,233698,2009-08-02,2099-12-31,,C01BD07
DROSPIRENONE,DROSPIRENONE,DROSPIRENONE,,"SourceTerm - Ingredient Term (""DROSPIRENONE"")",-1,1512674,DROSPIRENONE,Drug,RxNorm,Ingredient,S,11636,1970-01-01,2099-12-31,,
DROTAVERINE,DROTAVERINE,DROTAVERINE,,"SourceTerm - Ingredient Term (Standardised) (""DROTAVERINE"")",-1,19056611,DROTAVERIN,Drug,RxNorm,Ingredient,S,23684,1970-01-01,2099-12-31,,A03AD02
DULAGLUTID,DULAGLUTID,DULAGLUTID,,"SourceTerm - Ingredient Term (Standardised) (""DULAGLUTID"")",-1,45774435,DULAGLUTIDE,Drug,RxNorm,Ingredient,S,1551291,2014-12-01,2099-12-31,,
DULOXETINE,DULOXETINE,DULOXETINE,,"SourceTerm - Ingredient Term (""DULOXETINE"")",-1,715259,DULOXETINE,Drug,RxNorm,Ingredient,S,72625,1970-01-01,2099-12-31,,N06AX21
DUPILUMAB,DUPILUMAB,DUPILUMAB,,"SourceTerm - Ingredient Term (""DUPILUMAB"")",-1,1593467,DUPILUMAB,Drug,RxNorm,Ingredient,S,1876376,2017-08-07,2099-12-31,,D11AH05
DURVALUMAB,DURVALUMAB,DURVALUMAB,,"SourceTerm - Ingredient Term (""DURVALUMAB"")",-1,1594034,DURVALUMAB,Drug,RxNorm,Ingredient,S,1919503,2017-08-07,2099-12-31,,L01XC28
DUTASTERIDE,DUTASTERIDE,DUTASTERIDE,,"SourceTerm - Ingredient Term (""DUTASTERIDE"")",-1,989482,DUTASTERIDE,Drug,RxNorm,Ingredient,S,228790,1970-01-01,2099-12-31,,G04CB02
DYDROGESTERONE,DYDROGESTERONE,DYDROGESTERONE,,"SourceTerm - Ingredient Term (""DYDROGESTERONE"")",-1,19040060,DYDROGESTERONE,Drug,RxNorm,Ingredient,S,3706,1970-01-01,2099-12-31,,G03FB08
ECONAZOLE,ECONAZOLE,ECONAZOLE,,"SourceTerm - Ingredient Term (""ECONAZOLE"")",-1,940864,ECONAZOLE,Drug,RxNorm,Ingredient,S,3743,1970-01-01,2099-12-31,,G01AF05
EDOXABAN,EDOXABAN,EDOXABAN,,"SourceTerm - Ingredient Term (""EDOXABAN"")",-1,45892847,EDOXABAN,Drug,RxNorm,Ingredient,S,1599538,2015-03-02,2099-12-31,,B01AF03
EFAVIRENZ,EFAVIRENZ,EFAVIRENZ,,"SourceTerm - Ingredient Term (""EFAVIRENZ"")",-1,1738135,EFAVIRENZ,Drug,RxNorm,Ingredient,S,195085,1970-01-01,2099-12-31,,J05AR11
EFMOROCTOCOG ALFA,EFMOROCTOCOG ALFA,EFMOROCTOCOG ALFA,,"SourceTerm - Ingredient Term (""EFMOROCTOCOG ALFA"")",-1,45776421,EFMOROCTOCOG ALFA,Drug,RxNorm,Ingredient,S,1543095,2014-12-01,2099-12-31,,
EFTRENONACOG ALFA,EFTRENONACOG ALFA,EFTRENONACOG ALFA,,"SourceTerm - Synonym Term Synonym of (""EFTRENONACOG ALFA"")",-1,44818493,COAGULATION FACTOR IX RECOMBINANT IMMUNOGLOBULIN G1 FUSION PROTEIN,Drug,RxNorm,Ingredient,S,1535944,2014-06-02,2099-12-31,,
EICOSAPENTAENOIC ACID,EICOSAPENTAENOIC ACID,EICOSAPENTAENOIC ACID,,"SourceTerm - Ingredient Relationship ""Substance"" with relation ""SNOMED - RxNorm eq"" - Filter on best fit (""EICOSAPENTAENOIC ACID"")",-1,19087063,EICOSAPENTAENOATE,Drug,RxNorm,Ingredient,S,618597,2006-05-14,2099-12-31,,
ELBASVIR,ELBASVIR,ELBASVIR,,"SourceTerm - Ingredient Term (""ELBASVIR"")",-1,35606465,ELBASVIR,Drug,RxNorm,Ingredient,S,1734628,2016-05-02,2099-12-31,,J05AP54
ELETRIPTAN,ELETRIPTAN,ELETRIPTAN,,"SourceTerm - Ingredient Term (""ELETRIPTAN"")",-1,1189697,ELETRIPTAN,Drug,RxNorm,Ingredient,S,231049,1970-01-01,2099-12-31,,N02CC06
ELIXIRIUM THYMI COMPOSITUM,ELIXIRIUM THYMI COMPOSITUM,ELIXIRIUM THYMI COMPOSITUM,,"Manual Overrule Mapping (""ELIXIRIUM THYMI COMPOSITUM"")",-1,36878840,THYMI AETHEROLEUM EXTRACT,Drug,RxNorm Extension,Ingredient,S,OMOP995879,1970-01-01,2099-12-31,,
ELTROMBOPAG,ELTROMBOPAG,ELTROMBOPAG,,"SourceTerm - Ingredient Term (""ELTROMBOPAG"")",-1,19012346,ELTROMBOPAG,Drug,RxNorm,Ingredient,S,711942,2009-01-04,2099-12-31,,B02BX05
ELVITEGRAVIR,ELVITEGRAVIR,ELVITEGRAVIR,,"SourceTerm - Ingredient Term (""ELVITEGRAVIR"")",-1,42874212,ELVITEGRAVIR,Drug,RxNorm,Ingredient,S,1306286,2012-09-04,2099-12-31,,
EMEDASTINE,EMEDASTINE,EMEDASTINE,,"SourceTerm - Ingredient Term (""EMEDASTINE"")",-1,903893,EMEDASTINE,Drug,RxNorm,Ingredient,S,28144,1970-01-01,2099-12-31,,S01GX06
EMICIZUMAB,EMICIZUMAB,EMICIZUMAB,,"SourceTerm - Ingredient Term (""EMICIZUMAB"")",-1,793042,EMICIZUMAB,Drug,RxNorm,Ingredient,S,1989794,2018-02-05,2099-12-31,,B02BX06
EMPAGLIFLOZIN,EMPAGLIFLOZIN,EMPAGLIFLOZIN,,"SourceTerm - Ingredient Term (""EMPAGLIFLOZIN"")",-1,45774751,EMPAGLIFLOZIN,Drug,RxNorm,Ingredient,S,1545653,2014-12-01,2099-12-31,,
EMTRICITABINE,EMTRICITABINE,EMTRICITABINE,,"SourceTerm - Ingredient Term (""EMTRICITABINE"")",-1,1703069,EMTRICITABINE,Drug,RxNorm,Ingredient,S,276237,1970-01-01,2099-12-31,,J05AR09
ENALAPRIL,ENALAPRIL,ENALAPRIL,,"SourceTerm - Ingredient Term (""ENALAPRIL"")",-1,1341927,ENALAPRIL,Drug,RxNorm,Ingredient,S,3827,1970-01-01,2099-12-31,,
ENFUVIRTIDE,ENFUVIRTIDE,ENFUVIRTIDE,,"SourceTerm - Ingredient Term (""ENFUVIRTIDE"")",-1,1717002,ENFUVIRTIDE,Drug,RxNorm,Ingredient,S,139896,1970-01-01,2099-12-31,,J05AX07
ENOXAPARIN SODIUM,ENOXAPARIN SODIUM,ENOXAPARIN SODIUM,,"SourceTerm - Ingredient Relationship ""Precise Ingredient"" with relation ""Form of"" - Filter on best fit (""ENOXAPARIN SODIUM"")",-1,1301025,ENOXAPARIN,Drug,RxNorm,Ingredient,S,67108,1970-01-01,2099-12-31,,B01AB05
ENTACAPONE,ENTACAPONE,ENTACAPONE,,"SourceTerm - Ingredient Term (""ENTACAPONE"")",-1,782211,ENTACAPONE,Drug,RxNorm,Ingredient,S,60307,1970-01-01,2099-12-31,,N04BX02
ENTECAVIR,ENTECAVIR,ENTECAVIR,,"SourceTerm - Ingredient Term (""ENTECAVIR"")",-1,1711246,ENTECAVIR,Drug,RxNorm,Ingredient,S,306266,2005-07-24,2099-12-31,,J05AF10
ENZALUTAMID,ENZALUTAMID,ENZALUTAMID,,"SourceTerm - Ingredient Term (Standardised) (""ENZALUTAMID"")",-1,42900250,ENZALUTAMIDE,Drug,RxNorm,Ingredient,S,1307298,2012-10-01,2099-12-31,,L02BB04
EPHEDRINE,EPHEDRINE,EPHEDRINE,,"SourceTerm - Ingredient Term (""EPHEDRINE"")",-1,1143374,EPHEDRINE,Drug,RxNorm,Ingredient,S,3966,1970-01-01,2099-12-31,,C01CA26
EPINASTINE,EPINASTINE,EPINASTINE,,"SourceTerm - Ingredient Term (""EPINASTINE"")",-1,943634,EPINASTINE,Drug,RxNorm,Ingredient,S,39684,1970-01-01,2099-12-31,,
EPINEPHRINE,EPINEPHRINE,EPINEPHRINE,,"SourceTerm - Ingredient Term (""EPINEPHRINE"")",-1,1343916,EPINEPHRINE,Drug,RxNorm,Ingredient,S,3992,1970-01-01,2099-12-31,,R01AA14
EPIRUBICIN,EPIRUBICIN,EPIRUBICIN,,"SourceTerm - Ingredient Term (""EPIRUBICIN"")",-1,1344354,EPIRUBICIN,Drug,RxNorm,Ingredient,S,3995,1970-01-01,2099-12-31,,L01DB03
EPLERENONE,EPLERENONE,EPLERENONE,,"SourceTerm - Ingredient Term (""EPLERENONE"")",-1,1309799,EPLERENONE,Drug,RxNorm,Ingredient,S,298869,1970-01-01,2099-12-31,,C03DA04
EPOETIN ALFA,EPOETIN ALFA,EPOETIN ALFA,,"SourceTerm - Ingredient Term (""EPOETIN ALFA"")",-1,1301125,EPOETIN ALFA,Drug,RxNorm,Ingredient,S,105694,1970-01-01,2099-12-31,,B03XA01
EPOETIN BETA,EPOETIN BETA,EPOETIN BETA,,"SourceTerm - Ingredient Term (""EPOETIN BETA"")",-1,19001311,EPOETIN BETA,Drug,RxNorm,Ingredient,S,105695,1970-01-01,2099-12-31,,
EPOETIN THETA,EPOETIN THETA,EPOETIN THETA,,"SourceTerm - Ingredient Term (""EPOETIN THETA"")",-1,36878928,EPOETIN THETA,Drug,RxNorm Extension,Ingredient,S,OMOP998559,2015-09-29,2099-12-31,,
EPOETIN ZETA,EPOETIN ZETA,EPOETIN ZETA,,"SourceTerm - Ingredient Term (""EPOETIN ZETA"")",-1,36878697,EPOETIN ZETA,Drug,RxNorm Extension,Ingredient,S,OMOP995386,2009-06-12,2099-12-31,,
EPROSARTAN,EPROSARTAN,EPROSARTAN,,"SourceTerm - Ingredient Term (""EPROSARTAN"")",-1,1346686,EPROSARTAN,Drug,RxNorm,Ingredient,S,83515,1970-01-01,2099-12-31,,
EPTACOG ALFA (ACTIVATED),EPTACOG ALFA (ACTIVATED),EPTACOG ALFA (ACTIVATED),,"SourceTerm - Ingredient Relationship Synonym of ""Pharma/Biol Product"" with relation ""Maps to"" (""EPTACOG ALFA (ACTIVATED)"")",-1,1352141,FACTOR VIIA,Drug,RxNorm,Ingredient,S,4256,1970-01-01,2099-12-31,,B02BD08
EPTIFIBATIDE,EPTIFIBATIDE,EPTIFIBATIDE,,"SourceTerm - Ingredient Term (""EPTIFIBATIDE"")",-1,1322199,EPTIFIBATIDE,Drug,RxNorm,Ingredient,S,75635,1970-01-01,2099-12-31,,B01AC16
ERDOSTEINE,ERDOSTEINE,ERDOSTEINE,,"SourceTerm - Ingredient Term (""ERDOSTEINE"")",-1,19058933,ERDOSTEINE,Drug,RxNorm,Ingredient,S,24305,1970-01-01,2099-12-31,,R05CB15
ERENUMAB,ERENUMAB,ERENUMAB,,"SourceTerm - Ingredient Term (""ERENUMAB"")",-1,1510467,ERENUMAB,Drug,RxNorm,Ingredient,S,2045613,2018-07-02,2099-12-31,,
ERGOCALCIFEROL,ERGOCALCIFEROL,ERGOCALCIFEROL,,"SourceTerm - Ingredient Term (""ERGOCALCIFEROL"")",-1,19045045,ERGOCALCIFEROL,Drug,RxNorm,Ingredient,S,4018,1970-01-01,2099-12-31,,A11CC01
ERGOTAMINE,ERGOTAMINE,ERGOTAMINE,,"SourceTerm - Ingredient Term (""ERGOTAMINE"")",-1,1145379,ERGOTAMINE,Drug,RxNorm,Ingredient,S,4025,1970-01-01,2099-12-31,,N02CA72
ERIBULIN,ERIBULIN,ERIBULIN,,"SourceTerm - Ingredient Term (""ERIBULIN"")",-1,40230712,ERIBULIN,Drug,RxNorm,Ingredient,S,1045453,2010-12-05,2099-12-31,,L01XX41
ERLOTINIB,ERLOTINIB,ERLOTINIB,,"SourceTerm - Ingredient Term (""ERLOTINIB"")",-1,1325363,ERLOTINIB,Drug,RxNorm,Ingredient,S,337525,2005-07-24,2099-12-31,,L01XE03
ERTAPENEM,ERTAPENEM,ERTAPENEM,,"SourceTerm - Ingredient Term (""ERTAPENEM"")",-1,1717963,ERTAPENEM,Drug,RxNorm,Ingredient,S,325642,1970-01-01,2099-12-31,,J01DH03
ERTUGLIFLOZIN,ERTUGLIFLOZIN,ERTUGLIFLOZIN,,"SourceTerm - Ingredient Term (""ERTUGLIFLOZIN"")",-1,793293,ERTUGLIFLOZIN,Drug,RxNorm,Ingredient,S,1992672,2018-02-05,2099-12-31,,A10BK04
ERYTHROMYCIN,ERYTHROMYCIN,ERYTHROMYCIN,,"SourceTerm - Ingredient Term (""ERYTHROMYCIN"")",-1,1746940,ERYTHROMYCIN,Drug,RxNorm,Ingredient,S,4053,1970-01-01,2099-12-31,,
ERYTHROPOIETIN,ERYTHROPOIETIN,ERYTHROPOIETIN,,"SourceTerm - Ingredient Term (""ERYTHROPOIETIN"")",-1,43009086,ERYTHROPOIETIN,Drug,RxNorm Extension,Ingredient,S,OMOP4700512,1970-01-01,2099-12-31,,
"ERYTHROPOIETIN, RECOMBINANT HUMAN","ERYTHROPOIETIN, RECOMBINANT HUMAN","ERYTHROPOIETIN, RECOMBINANT HUMAN",,"First 1 words from SourceTerm - Ingredient Term (""ERYTHROPOIETIN"")",-1,43009086,ERYTHROPOIETIN,Drug,RxNorm Extension,Ingredient,S,OMOP4700512,1970-01-01,2099-12-31,,
